bus_index,v_min,v_max
1,0.95,1.05
2,0.95,1.05
3,0.95,1.05
4,0.95,1.05
5,0.95,1.05
6,0.95,1.05
7,0.95,1.05
8,0.95,1.05
9,0.95,1.05
10,0.95,1.05
11,0.95,1.05
12,0.95,1.05
13,0.95,1.05
14,0.95,1.05
15,0.95,1.05
16,0.95,1.05
17,0.95,1.05
18,0.95,1.05
19,0.95,1.05
20,0.95,1.05
21,0.95,1.05
22,0.95,1.05
23,0.95,1.05
24,0.95,1.05
25,0.95,1.05
26,0.95,1.05
27,0.95,1.05
28,0.95,1.05
29,0.95,1.05
30,0.95,1.05
31,0.95,1.05
32,0.95,1.05
33,0.95,1.05
34,0.95,1.05
35,0.95,1.05
36,0.95,1.05
37,0.95,1.05
38,0.95,1.05
39,0.95,1.05
40,0.95,1.05
41,0.95,1.05
42,0.95,1.05
43,0.95,1.05
44,0.95,1.05
45,0.95,1.05
46,0.95,1.05
47,0.95,1.05
48,0.95,1.05
49,0.95,1.05
50,0.95,1.05
51,0.95,1.05
52,0.95,1.05
53,0.95,1.05
54,0.95,1.05
