scenario,state,duration,probability,routine,start
0,state_0,1,0.957461402,1,12
1,state_1,1,4.39E-05,1,12
2,state_2,1,4.39E-05,1,12
3,state_3,1,4.39E-05,1,12
4,state_4,1,4.39E-05,1,12
5,state_5,1,4.39E-05,1,12
6,state_6,1,4.39E-05,1,12
7,state_7,1,4.39E-05,1,12
8,state_8,1,4.39E-05,1,12
9,state_9,1,4.39E-05,1,12
10,state_10,1,4.39E-05,1,12
11,state_11,1,4.39E-05,1,12
12,state_12,1,4.39E-05,1,12
13,state_13,1,4.39E-05,1,12
14,state_14,1,4.39E-05,1,12
15,state_15,1,4.39E-05,1,12
16,state_16,1,4.39E-05,1,12
17,state_17,1,4.39E-05,1,12
18,state_18,1,4.39E-05,1,12
19,state_19,1,4.39E-05,1,12
20,state_20,1,4.39E-05,1,12
21,state_21,1,4.39E-05,1,12
22,state_22,1,4.39E-05,1,12
23,state_23,1,4.39E-05,1,12
24,state_24,1,4.39E-05,1,12
25,state_25,1,4.39E-05,1,12
26,state_26,1,4.39E-05,1,12
27,state_27,1,4.39E-05,1,12
28,state_28,1,4.39E-05,1,12
29,state_29,1,4.39E-05,1,12
30,state_30,1,4.39E-05,1,12
31,state_31,1,4.39E-05,1,12
32,state_32,1,4.39E-05,1,12
33,state_33,1,1.57E-06,0,12
34,state_34,1,1.57E-06,0,12
35,state_35,1,4.39E-05,1,12
36,state_36,1,4.39E-05,1,12
37,state_37,1,4.39E-05,1,12
38,state_38,1,4.39E-05,1,12
39,state_39,1,4.39E-05,1,12
40,state_40,1,4.39E-05,1,12
41,state_41,1,4.39E-05,1,12
42,state_42,1,4.39E-05,1,12
43,state_43,1,4.39E-05,1,12
44,state_44,1,4.39E-05,1,12
45,state_45,1,4.39E-05,1,12
46,state_46,1,4.39E-05,1,12
47,state_47,1,4.39E-05,1,12
48,state_48,1,4.39E-05,1,12
49,state_49,1,4.39E-05,1,12
50,state_50,1,4.39E-05,1,12
51,state_51,1,4.39E-05,1,12
52,state_52,1,4.39E-05,1,12
53,state_53,1,4.39E-05,1,12
54,state_54,1,4.39E-05,1,12
55,state_55,1,4.39E-05,1,12
56,state_56,1,4.39E-05,1,12
57,state_57,1,4.39E-05,1,12
58,state_58,1,4.39E-05,1,12
59,state_59,1,4.39E-05,1,12
60,state_60,1,4.39E-05,1,12
61,state_61,1,4.39E-05,1,12
62,state_62,1,4.39E-05,1,12
63,state_63,1,4.39E-05,1,12
64,state_64,1,4.39E-05,1,12
65,state_65,1,4.39E-05,1,12
66,state_66,1,4.39E-05,1,12
67,state_67,1,4.39E-05,1,12
68,state_68,1,4.39E-05,1,12
69,state_69,1,4.39E-05,1,12
70,state_70,1,4.39E-05,1,12
71,state_71,1,4.39E-05,1,12
72,state_72,1,4.39E-05,1,12
73,state_73,1,4.39E-05,1,12
74,state_74,1,4.39E-05,1,12
75,state_75,1,4.39E-05,1,12
76,state_76,1,4.39E-05,1,12
77,state_77,1,4.39E-05,1,12
78,state_78,1,4.39E-05,1,12
79,state_79,1,4.39E-05,1,12
80,state_80,1,4.39E-05,1,12
81,state_81,1,4.39E-05,1,12
82,state_82,1,4.39E-05,1,12
83,state_83,1,4.39E-05,1,12
84,state_84,1,4.39E-05,1,12
85,state_85,1,4.39E-05,1,12
86,state_86,1,4.39E-05,1,12
87,state_87,1,4.39E-05,1,12
88,state_88,1,4.39E-05,1,12
89,state_89,1,4.39E-05,1,12
90,state_90,1,4.39E-05,1,12
91,state_91,1,4.39E-05,1,12
